github.name,github.score,github.size,github.forks,github.open_issues,github.watchers,github.stars
tomdalling/opengl-series,1,7520,220,1,704,704
falltergeist/falltergeist,1,6692,66,98,526,526
id-Software/DOOM-3-BFG,1,12273,989,1,3329,3329
lynckia/licode,1,23368,785,240,1943,1943
facebook/watchman,1,13964,609,74,8013,8013
facebook/rocksdb,1,127749,3051,357,14020,14020
embree/embree,1,56670,172,8,1002,1002
fmtlib/fmt,1,8372,722,20,5965,5965
fmtlib/fmt,1,8372,722,20,5965,5965
MasteringOpenCV/code,1,86100,1531,42,2297,2297
slowmoVideo/slowmoVideo,1,2576,68,44,433,433
adafruit/Adafruit_NeoPixel,1,543,779,49,1715,1715
adafruit/Adafruit_NeoPixel,1,543,779,49,1715,1715
oclint/oclint,1,1674,355,44,2913,2913
oclint/oclint,1,1674,355,44,2913,2913
tiny-dnn/tiny-dnn,1,25554,1248,296,4763,4763
MaartenBaert/ssr,1,8568,182,328,1256,1256
MaartenBaert/ssr,1,8568,182,328,1256,1256
AGWA/git-crypt,1,315,252,91,3840,3840
AGWA/git-crypt,1,315,252,91,3840,3840
vinipsmaker/tufao,1,3268,137,30,442,442
biometrics/openbr,1,48326,673,57,2506,2506
brndnmtthws/conky,1,17575,372,96,3114,3114
swig/swig,1,62421,743,403,2919,2919
vkohaupt/vokoscreen,1,4908,73,66,500,500
chadaustin/sajson,1,1153,26,6,421,421
cinemast/libjson-rpc-cpp,1,1973,222,11,507,507
neolee/SCU,1,8307,37,7,558,558
iagox86/dnscat2,1,3895,345,66,1639,1639
iagox86/dnscat2,1,3895,345,66,1639,1639
ArduPilot/ardupilot,1,138054,7890,1521,4046,4046
MailCore/mailcore2,1,12906,504,142,2046,2046
xenia-project/xenia,1,30377,531,175,3598,3598
VerySleepy/verysleepy,1,8407,62,19,533,533
DigitalInBlue/Celero,1,1732,66,5,452,452
ideawu/ssdb,1,4233,1234,369,6139,6139
ideawu/ssdb,1,4233,1234,369,6139,6139
c2lang/c2compiler,1,6236,29,23,496,496
adafruit/Adafruit_Sensor,1,28,453,5,553,553
zonyitoo/doubanfm-qt,1,3166,99,2,503,503
zealdocs/zeal,1,4875,541,130,6907,6907
zealdocs/zeal,1,4875,541,130,6907,6907
nodejs/node-addon-examples,1,185,334,45,1174,1174
nodejs/node-addon-examples,1,185,334,45,1174,1174
Hawstein/cracking-the-coding-interview,1,1530,614,5,1337,1337
Hawstein/cracking-the-coding-interview,1,1530,614,5,1337,1337
GarageGames/Torque2D,1,178557,1672,30,1491,1491
cameron314/readerwriterqueue,1,150,325,12,1366,1366
cameron314/readerwriterqueue,1,150,325,12,1366,1366
openMVG/openMVG,1,27629,945,153,2269,2269
PointCloudLibrary/pcl,1,226690,2750,516,3844,3844
ruben2020/codequery,1,4545,56,26,449,449
ValveSoftware/halflife,1,4887,372,1348,1533,1533
ValveSoftware/halflife,1,4887,372,1348,1533,1533
hzeller/rpi-rgb-led-matrix,1,21166,549,173,1365,1365
bombela/backward-cpp,1,577,179,30,1245,1245
bombela/backward-cpp,1,577,179,30,1245,1245
tjanczuk/edge,1,25308,601,352,4638,4638
zhangyuanwei/node-images,1,45336,153,19,1085,1085
jart/hiptext,1,2332,25,24,493,493
klmr/named-operator,1,105,28,2,416,416
simongog/sdsl-lite,1,9516,236,56,1534,1534
simongog/sdsl-lite,1,9516,236,56,1534,1534
boostorg/compute,1,8726,232,114,992,992
randombit/botan,1,70868,287,92,1149,1149
Amanieu/asyncplusplus,1,292,105,0,616,616
wuye9036/CppTemplateTutorial,1,331,505,14,2661,2661
wuye9036/CppTemplateTutorial,1,331,505,14,2661,2661
Ardour/ardour,1,231821,291,26,1101,1101
ninjablocks/433Utils,1,51,289,31,651,651
keepassx/keepassx,1,4407,579,80,3992,3992
keepassx/keepassx,1,4407,579,80,3992,3992
cloose/CuteMarkEd,1,4054,222,130,1032,1032
cloose/CuteMarkEd,1,4054,222,130,1032,1032
cacay/MemoryPool,1,27,219,5,432,432
objectcomputing/liquibook,1,800,225,7,558,558
stanleyhuangyc/ArduinoOBD,1,2471,375,45,556,556
JavascriptNet/Javascript.Net,1,8244,129,13,611,611
yinqiwen/ardb,1,73105,214,50,1342,1342
capnproto/capnproto,1,17000,543,98,6521,6521
fatih/subvim,1,20525,67,10,1147,1147
spotify/annoy,1,1827,623,11,5499,5499
spotify/annoy,1,1827,623,11,5499,5499
crosswalk-project/crosswalk,1,18123,567,120,2161,2161
trottier/original-bitcoin,1,4029,287,1,417,417
JACoders/OpenJK,1,67396,417,210,1297,1297
homenc/HElib,1,6994,424,135,1943,1943
homenc/HElib,1,6994,424,135,1943,1943
